symbol,type,entry,exit,pnl,reason,bars
ETH-USD,B,2059.19580078125,2053.0182133789062,-0.42,stop,0
ETH-USD,C,2066.45947265625,2062.1148647460936,-0.2943,stop,6
ETH-USD,B,2059.613037109375,2053.434197998047,-0.42,stop,3
ETH-USD,B,1984.20361328125,2002.251002807617,1.2734,target,44
ETH-USD,B,1999.75341796875,1993.7541577148438,-0.42,stop,18
ETH-USD,B,1993.1859130859375,2011.1945462646481,1.2649,target,11
ETH-USD,B,2018.16064453125,2012.2741142578125,-0.4083,stop,4
ETH-USD,B,1993.21337890625,1987.2337387695313,-0.42,stop,5
ETH-USD,C,2053.17724609375,2047.5997033691406,-0.3803,stop,2
ETH-USD,B,2042.484130859375,2061.296840332031,1.2895,target,13
ETH-USD,B,2054.975341796875,2048.8104157714843,-0.42,stop,12
ETH-USD,C,2072.115478515625,2067.523151611328,-0.3103,stop,0
ETH-USD,B,2067.2666015625,2062.3439118652345,-0.3334,stop,1
ETH-USD,A,2075.4468587239585,2069.2205181477866,-0.42,stop,0
ETH-USD,B,2065.21435546875,2059.0187124023437,-0.42,stop,9
ETH-USD,B,2058.425048828125,2052.249773681641,-0.42,stop,31
ETH-USD,D,2057.5806884765625,2076.861328125,1.3119,target,13
ETH-USD,B,2093.376708984375,2103.720703125,0.6918,timeout,48
ETH-USD,B,2091.292236328125,2085.8167385253905,-0.3666,stop,6
ETH-USD,B,2133.242431640625,2128.486196533203,-0.3121,stop,3
ETH-USD,B,2139.236328125,2136.8811020507815,-0.1541,stop,7
ETH-USD,C,2056.166259765625,2057.291015625,0.0766,end,4
XRP-USD,B,1.4012893438339233,1.411429762840271,1.0131,target,8
XRP-USD,B,1.4104468822479248,1.4038333982229232,-0.6564,stop,3
XRP-USD,B,1.376579999923706,1.3699125015735627,-0.6781,stop,18
XRP-USD,B,1.4172667264938354,1.4101891702413558,-0.6991,stop,0
XRP-USD,B,1.4082061052322388,1.4011650747060775,-0.7,stop,21
